institution,mission group,region,academic services expenditure,degree completion rate,entry tariff,facilities expenditure,good degree rate,graduate prospects,student satisfaction,research quality,research intensity,student to staff ratio,overall score,overall rank
Anglia Ruskin,Non-member,East of England,19.4,78.2,109,1267,480,68.9,3.92,2.81,0.24,76.2,454,114
Bath Spa,Non-member,South West,16.6,82.1,124,1674,547,52.4,3.81,2.71,0.46,65.3,515,95
Bournemouth,Non-member,South West,19.2,87,116,1672,718,71.2,3.6,2.77,0.66,72.4,562,72
Brighton,Non-member,South East,18.1,86,117,1801,579,70.8,3.62,3.05,0.4,72.1,535,81
Brunel,Non-member,London,17.9,89.4,123,1118,495,65.1,3.55,2.88,0.75,72.9,535,81
Buck's New,Non-member,South East,15.4,70.6,112,2591,581,63.3,3.92,2.25,0.13,72,479,107
Canterbury,Non-member,South East,18.2,83.8,108,1462,550,67,3.76,2.72,0.32,75.3,486,105
Northumbria,Non-member,North East,15.7,85.3,133,1575,621,71.4,3.73,3.06,0.68,76.1,649,43
City University,Non-member,London,19.4,94.3,133,1882,612,77.7,3.73,3.25,0.56,79.6,667,40
Coventry,Non-member,West Midlands,13.8,80.2,121,1958,611,68.4,3.93,2.9,0.23,73,605,57
De Montfort,Non-member,East Midlands,18.5,84.5,108,1350,919,62.2,3.64,2.69,0.39,67.9,471,110
Goldsmiths,Non-member,London,13.9,77.6,124,2389,859,57.6,3.6,3.11,0.64,66,585,62
Imperial,Member,London,11.7,98.8,198,2855,618,92.4,4.05,3.63,0.8,84.6,913,5
Winchester,Non-member,South East,18.1,87.4,115,1194,452,61.3,3.74,2.53,0.38,68.5,474,109
King's College,Member,London,13.9,95,165,1908,705,82.4,3.75,3.46,0.69,79.9,739,22
Kingston,Non-member,London,17,82.9,120,1936,683,65.8,3.87,2.89,0.39,69.6,539,78
Leeds Beckett,Non-member,Yorkshire and The Humber,21.7,84.4,113,1470,684,64.4,3.85,2.68,0.36,68.7,485,106
