Academic year,Level of study,Number
2011/12,Postgraduate (research),34775
2011/12,Postgraduate (taught),282425
2011/12,First degree,552235
2011/12,Other undergraduate,247895
2011/12,Total,1117335
2012/13,Postgraduate (research),34570
2012/13,Postgraduate (taught),271475
2012/13,First degree,495325
2012/13,Other undergraduate,170880
2012/13,Total,972255
2013/14,Postgraduate (research),36285
2013/14,Postgraduate (taught),281860
2013/14,First degree,522080
2013/14,Other undergraduate,155625
2013/14,Total,995850
2014/15,Postgraduate (research),36320
2014/15,Postgraduate (taught),281450
2014/15,First degree,536925
2014/15,Other undergraduate,155740
2014/15,Total,1010430
2015/16,Postgraduate (research),35975
2015/16,Postgraduate (taught),282060
2015/16,First degree,557065
2015/16,Other undergraduate,143850
2015/16,Total,1018950
2016/17,Postgraduate (research),35340
2016/17,Postgraduate (taught),313925
2016/17,First degree,563120
2016/17,Other undergraduate,131975
2016/17,Total,1044360
2017/18,Postgraduate (research),36090
2017/18,Postgraduate (taught),332330
2017/18,First degree,571540
2017/18,Other undergraduate,124150
2017/18,Total,1064110
2018/19,Postgraduate (research),37145
2018/19,Postgraduate (taught),347905
2018/19,First degree,584890
2018/19,Other undergraduate,116695
2018/19,Total,1086640
2019/20,Postgraduate (research),33910
2019/20,Postgraduate (taught),384030
2019/20,First degree,611390
2019/20,Other undergraduate,110350
2019/20,Total,1139680
2020/21,Postgraduate (research),36095
2020/21,Postgraduate (taught),446800
2020/21,First degree,659090
2020/21,Other undergraduate,115365
2020/21,Total,1257350
