Level of study,Mode of study,Academic Year,Number
Postgraduate,Part-time,2005/06,114940
Postgraduate,Full-time,2005/06,155665
Undergraduate,Part-time,2005/06,337240
Undergraduate,Full-time,2005/06,450485
Postgraduate,Part-time,2006/07,116220
Postgraduate,Full-time,2006/07,162575
Undergraduate,Part-time,2006/07,341035
Undergraduate,Full-time,2006/07,437775
Postgraduate,Part-time,2007/08,116570
Postgraduate,Full-time,2007/08,161015
Undergraduate,Part-time,2007/08,332320
Undergraduate,Full-time,2007/08,458575
Postgraduate,Part-time,2008/09,129055
Postgraduate,Full-time,2008/09,177595
Undergraduate,Part-time,2008/09,344775
Undergraduate,Full-time,2008/09,493425
Postgraduate,Part-time,2009/10,132790
Postgraduate,Full-time,2009/10,200880
Undergraduate,Part-time,2009/10,334820
Undergraduate,Full-time,2009/10,516770
Postgraduate,Part-time,2010/11,127750
Postgraduate,Full-time,2010/11,207595
Undergraduate,Part-time,2010/11,301025
Undergraduate,Full-time,2010/11,509065
Postgraduate,Part-time,2011/12,109535
Postgraduate,Full-time,2011/12,207665
Undergraduate,Part-time,2011/12,278530
Undergraduate,Full-time,2011/12,521605
Postgraduate,Part-time,2012/13,102890
Postgraduate,Full-time,2012/13,203155
Undergraduate,Part-time,2012/13,199940
Undergraduate,Full-time,2012/13,466270
Postgraduate,Part-time,2013/14,106265
Postgraduate,Full-time,2013/14,211880
Undergraduate,Part-time,2013/14,175440
Undergraduate,Full-time,2013/14,502265
Postgraduate,Part-time,2014/15,108025
Postgraduate,Full-time,2014/15,209745
Undergraduate,Part-time,2014/15,159300
Undergraduate,Full-time,2014/15,533365
Postgraduate,Part-time,2015/16,107110
Postgraduate,Full-time,2015/16,210925
Undergraduate,Part-time,2015/16,151905
Undergraduate,Full-time,2015/16,549010
Postgraduate,Part-time,2016/17,116045
Postgraduate,Full-time,2016/17,233220
Undergraduate,Part-time,2016/17,136700
Undergraduate,Full-time,2016/17,558395
Postgraduate,Part-time,2017/18,113775
Postgraduate,Full-time,2017/18,254645
Undergraduate,Part-time,2017/18,132045
Undergraduate,Full-time,2017/18,563645
Postgraduate,Part-time,2018/19,116665
Postgraduate,Full-time,2018/19,268385
Undergraduate,Part-time,2018/19,131870
Undergraduate,Full-time,2018/19,569715
Postgraduate,Part-time,2019/20,116675
Postgraduate,Full-time,2019/20,301265
Undergraduate,Part-time,2019/20,126890
Undergraduate,Full-time,2019/20,594850
Postgraduate,Part-time,2020/21,142125
Postgraduate,Full-time,2020/21,340770
Undergraduate,Part-time,2020/21,140710
Undergraduate,Full-time,2020/21,633745
