year,table,institution,Russell group,region,entry tariff,student satisfaction,research quality,overall score,rank,graduate outcomes,graduate plans on track
2023,Accounting & finance,De Montfort,Non-member,Outside London,98,3.81,2.45,79.4,79,60,74
2023,Business & management,De Montfort,Non-member,Outside London,101,3.65,2.45,74.5,107,56,60
2023,Marketing,De Montfort,Non-member,Outside London,106,3.67,2.45,73.8,79,60,58
2023,Accounting & finance,Loughborough,Non-member,Outside London,147,3.93,3.23,94.7,16,78,84
2023,Business & management,Loughborough,Non-member,Outside London,150,4.08,3.23,93.4,10,88,84
2023,Marketing,Loughborough,Non-member,Outside London,148,4.03,3.23,90.1,9,,
2023,Accounting & finance,N'ham Trent,Non-member,Outside London,120,3.78,2.86,85.6,43,60,82
2023,Business & management,N'ham Trent,Non-member,Outside London,123,3.75,2.86,82.3,46,67,70
2023,Marketing,N'ham Trent,Non-member,Outside London,126,3.6,2.86,84.1,22,80,84
2023,Accounting & finance,Northampton,Non-member,Outside London,108,3.79,1.2,73.7,99,30,82
2023,Business & management,Northampton,Non-member,Outside London,104,3.71,2.44,75.6,98,48,68
2023,Accounting & finance,Brunel,Non-member,London,117,3.51,2.72,82.2,60,52,78
2023,Business & management,Brunel,Non-member,London,125,3.49,2.72,78.2,73,54,62
2023,Marketing,Northampton,Non-member,Outside London,111,3.58,2.44,75.5,70,54,74
2023,Accounting & finance,Lincoln,Non-member,Outside London,120,4.01,2.78,88,36,64,88
2023,Business & management,Lincoln,Non-member,Outside London,118,3.87,2.78,82.2,47,65,72
2023,Marketing,Lincoln,Non-member,Outside London,126,3.94,2.78,82.6,27,74,64
2023,Accounting & finance,Nottingham,Member,Outside London,149,3.62,3.16,93.1,21,82,78
2023,Business & management,Nottingham,Member,Outside London,143,3.68,3.16,88.1,23,81,73
2023,Accounting & finance,Leicester,Non-member,Outside London,117,3.7,3.16,85.7,42,66,70
2023,Business & management,Leicester,Non-member,Outside London,122,3.61,3.16,82.1,48,61,70
2023,Marketing,Leicester,Non-member,Outside London,127,3.67,3.16,81.5,31,60,70
2023,Accounting & finance,City University,Non-member,London,146,3.78,3.51,95,14,78,86
2023,Business & management,City University,Non-member,London,175,3.69,3.51,92.7,12,66,90
