Academic Year,Level of study,Number
2000,Undergraduate,1541225
2000,Postgraduate,406905
2000,Total,1948135
2001,Undergraduate,1615130
2001,Postgraduate,427455
2001,Total,2042580
2002,Undergraduate,1676920
2002,Postgraduate,454190
2002,Total,2131110
2003,Undergraduate,1722685
2003,Postgraduate,477495
2003,Total,2200175
2004,Undergraduate,1753810
2004,Postgraduate,482115
2004,Total,2235925
2005,Undergraduate,1789025
2005,Postgraduate,492755
2005,Total,2281780
2006,Undergraduate,1802280
2006,Postgraduate,502965
2006,Total,2305250
2007,Undergraduate,1804305
2007,Postgraduate,501480
2007,Total,2305780
2008,Undergraduate,1860425
2008,Postgraduate,537160
2008,Total,2397585
2009,Undergraduate,1914835
2009,Postgraduate,578915
2009,Total,2493750
2010,Undergraduate,1913940
2010,Postgraduate,589070
2010,Total,2503010
2011,Undergraduate,1928140
2011,Postgraduate,568490
2011,Total,2496635
2012,Undergraduate,1803755
2012,Postgraduate,536715
2012,Total,2340470
2013,Undergraduate,1760020
2013,Postgraduate,539440
2013,Total,2299460
2014,Undergraduate,1777645
2014,Postgraduate,538195
2014,Total,2315840
2015,Undergraduate,1801570
2015,Postgraduate,531255
2015,Total,2332825
2016,Undergraduate,1818565
2016,Postgraduate,558410
2016,Total,2376975
2017,Undergraduate,1832735
2017,Postgraduate,582010
2017,Total,2414745
2018,Undergraduate,1853840
2018,Postgraduate,602710
2018,Total,2456545
2019,Undergraduate,1889475
2019,Postgraduate,642915
2019,Total,2532385
2020,Undergraduate,2008525
2020,Postgraduate,743340
2020,Total,2751865
